chr11	100004457	100005627	1.72355	22.8691
chr11	100006220	100007347	3.06023	16.4496
chr11	100041141	100041500	10.4312	0
chr11	100058679	100059290	0.348199	0.718776
chr11	100168530	100170342	11.5403	27.3487
chr11	100199832	100201021	0	9.40318
chr11	100220861	100221200	0	0.508226
chr11	100246525	100246746	0.223872	0.206897
chr11	100281153	100283421	6.22459	41.3815
chr11	100294732	100297047	37.7972	40.7701
chr11	100297314	100301738	24.8567	37.8042
chr11	100301865	100302616	0.328417	0.223104
chr11	100308711	100309226	0.421545	2.59739
chr11	100319406	100320925	0.171108	0.539117
chr11	100321380	100322160	0.558784	2.18317
chr11	100323045	100324462	5.95624	13.9169
chr11	100343669	100344297	0	0.252102
chr11	100349796	100350752	0.281769	0.327063
chr11	100351743	100352969	0	2.08511
chr11	100353969	100356468	0.330132	0.425661
chr11	100357187	100357895	0.0132642	0.43152
chr11	100359982	100363940	6.84325	27.3564
chr11	100365294	100366070	0.430896	0.408456
chr11	100371960	100372590	0.83219	0.679455
chr11	100373486	100374551	0.100962	0.387216
chr11	100378113	100379705	0.818142	0.278733
chr11	100384329	100385434	0.530007	12.1966
chr11	100388299	100389046	0.267971	0
chr11	100391270	100392118	0.584986	0.703994
chr11	100394519	100395818	0	0.405235
chr11	100396655	100398083	1.22336	5.8766
chr11	100407649	100409123	2.26129	15.0834
chr11	100409523	100409981	0	0.31318
chr11	100410628	100411333	0.136281	0.329127
chr11	100413156	100414942	0.196695	3.27724
chr11	100415891	100416777	0.813525	0.171789
chr11	100424935	100426903	0.407915	3.52938
chr11	100434597	100435502	0	0.069211
chr11	100437404	100438143	0	1.36136
chr11	100440175	100441435	0.326007	0.237816
chr11	100471884	100473591	7.89339	11.5694
chr11	100485653	100486792	0.316807	4.51638
chr11	100486839	100487568	0.152024	0.17012
chr11	100490736	100491747	0	3.38636
chr11	100493859	100494446	0.255317	0.966644
chr11	100507411	100507610	0.955947	0.822915
chr11	100510395	100511048	0.794084	2.52744
chr11	100512078	100513000	0	6.83015
chr11	100518017	100518906	0.259231	0.10181
chr11	100525703	100528284	0.29523	0.991301
chr11	100543615	100544214	0.456915	0.866675
chr11	100545241	100545886	0	1.01663
chr11	100555276	100556479	0.570736	16.7896
chr11	100568911	100571582	15.344	13.4395
chr11	100574806	100576045	0.606239	1.23871
chr11	100589740	100590236	10.3349	0.162465
chr11	100605518	100605950	0	0.729512
chr11	100611496	100612070	0.459705	0.559869
chr11	100615168	100615876	0.262788	0.243079
chr11	100618935	100620579	0.16997	0.969704
chr11	100622187	100623658	32.4032	29.4141
chr11	100625551	100628455	6.63178	12.6133
chr11	100629064	100630380	0.470147	0.459222
chr11	100639836	100640635	0.587074	6.93746
chr11	100645253	100647784	0.157395	11.9751
chr11	100655354	100656180	0.292641	6.16165
